imagenet-beetle        n02165105 n02165456 n02167151 n02168699 n02169497 n02172182 n02174001 n02177972
imagenet-birds         n01518878 n01614925 n01806143 n01818515 n01819313 n01843383 n01860187 n02007558 n02051845 n02056570
imagenet-cats          n02123045 n02123159 n02123394 n02123597 n02124075 n02127052 n02128757 n02128925 n02129165 n02129604
imagenet-feline        n02123045 n02123159 n02123394 n02123597 n02124075 n02125311 n02127052 n02128385 n02128757 n02128925
imagenet-fruits        n07718472 n07720875 n07742313 n07745940 n07747607 n07749582 n07753113 n07753275 n07753592 n07768694
imagenet-monkey        n02484975 n02486261 n02486410 n02487347 n02488291 n02488702 n02489166 n02490219 n02492035 n02492660
imagenet-motor-vehicle n02701002 n02704792 n02814533 n02930766 n03100240 n03345487 n03417042 n03444034 n03445924 n03594945
imagenet-snake         n01728572 n01728920 n01729322 n01729977 n01734418 n01735189 n01737021 n01739381 n01740131 n01742172
imagenet-sporting-dog  n02099267 n02099429 n02099601 n02099712 n02099849 n02100236 n02100583 n02100735 n02100877 n02101006
imagenet-terrier       n02093256 n02093428 n02093647 n02093754 n02093859 n02093991 n02094114 n02094258 n02094433 n02095314
imagenet-vessel        n02687172 n02951358 n02981792 n03095699 n03344393 n03447447 n03662601 n03673027 n03947888 n04147183
imagenet-working-dog   n02104029 n02104365 n02105056 n02105162 n02105251 n02105412 n02105505 n02105641 n02105855 n02106030
